号	地点 記号	掲載地点名	緯度 （北緯）	経度 （東経）	MSL- 潮位表 基準面 （cm）	MSLの 標高 （cm）	潮位表 基準面 の標高 （cm）	主要4分潮								分潮一覧表	備考
121	TH	竹原	34゜20'	132゜55'	200	-	-	105.3	295.18	41.48	325.14	31.87	222.41	23.12	199.87	-	
122	Q9	呉	34゜14'	132゜33'	200	20.1	-179.9	103.11	278.55	42.84	308.35	31.09	216.96	22.76	194.81	-	
123	Q8	広島	34゜21'	132゜28'	200	22.3	-177.7	101.53	278.08	42.08	307.98	30.88	216.89	22.55	194.6	-	
124	QA	徳山	34゜02'	131゜48'	180	19.3	-160.7	88.03	251.87	37.73	280.85	28.38	207.52	21.01	186.25	-	
125	J9	三田尻	34゜02'	131゜35'	180	-	-	89.57	251.6	38.63	280.93	28.71	207.55	21.55	186.19	-	
126	WH	宇部	33゜56'	131゜15'	210	-	-	103.48	254.55	45.33	283.75	29.74	209.02	22.19	187.78	-	
127	CF	長府	34゜01'	131゜00'	210	-	-	107.22	257.85	47.4	286.9	29.72	211.11	22.1	189.64	-	
128	A1	弟子待	33゜56'	130゜56'	120	-	-	57.5	265.08	26.31	294.11	14.91	245.4	13.66	231.94	-	
129	TI	田ノ首	33゜55'	130゜55'	100	-	-	42.4	269.84	19.97	298.14	12.77	268.63	13.34	251.6	-	
130	OH	大山の鼻	33゜55'	130゜54'	90	-	-	41.13	272.6	19.43	300.08	12.44	272.01	12.95	254.64	-	
131	HR	南風泊	33゜57'	130゜53'	80	-	-	34.98	283.68	16.95	308.52	11.98	285.28	12.37	264.94	-	
132	MT	松山	33゜52'	132゜43'	190	13.4	-176.6	99.1	263.82	40.92	291.97	30.61	207.96	22.39	186.42	2024年	
133	M3	波止浜	34゜06'	132゜56'	200	-	-	110.27	297.34	43.64	328.58	32.52	222.59	23.97	200.66	-	
134	M0	今治市小島	34゜08'	132゜59'	200	-	-	108.29	297.11	42.14	327.73	32.69	225.27	24.53	204.67	-	
135	M1	来島航路	34゜07'	132゜59'	200	-	-	101.82	304.21	38.49	335.34	32.24	230.8	24.01	210.91	-	
136	L0	今治	34゜04'	133゜00'	200	-	-	99.71	313.35	37.17	347	31.67	233.95	22.91	211.23	-	
137	NI	新居浜	33゜58'	133゜16'	200	-	-	110.72	319.46	41.3	354	32.7	235.84	23.78	212.85	-	
138	L8	伊予三島	33゜59'	133゜33'	210	-	-	116.61	323.16	42.87	357.47	33.2	236.28	24.55	212.27	-	
139	TX	多度津	34゜17'	133゜45'	200	-	-	107.28	327.59	38.71	1.09	32.73	236.91	23.67	213.26	-	
140	AX	青木	34゜22'	133゜41'	200	-	-	107.91	326.38	39.24	0.03	32.75	236.73	23.66	213.14	-	
141	J8	与島	34゜23'	133゜49'	180	-	-	89.87	325.43	30.98	356.12	32.08	234.11	23.39	210.08	-	
142	TA	高松	34゜21'	134゜03'	140	16.7	-123.3	66.6	324.76	20.83	347.94	30.85	230.45	22.6	206.28	2024年	
143	KM	小松島	34゜01'	134゜35'	101	15.9	-85.1	41.69	179.45	20.07	203.81	22.21	193.68	17.2	172.82	2024年	
144	J6	橘	33゜52'	134゜38'	110	-	-	44.3	173.71	21.03	199.21	22.26	192.31	16.88	171.49	-	
145	AW	阿波由岐	33゜46'	134゜36'	106	15.5	-90.5	46.97	171.73	21.14	196.14	21.06	188.65	16.39	168.56	2024年	
146	HW	日和佐	33゜43'	134゜33'	108	-	-	48.05	172.9	22.24	198.18	19.32	184.49	15.98	170.08	-	
147	L7	甲浦	33゜33'	134゜18'	109	-	-	47.92	170.48	21.29	195.47	21.14	186.81	16.39	167.01	-	
148	MU	室戸岬	33゜16'	134゜10'	110	29.6	-80.4	49.01	173.34	21.62	197.36	22.05	188.19	16.83	168.41	2024年	
149	KC	高知	33゜30'	133゜34'	108	12.1	-95.9	49.31	173.42	21.87	197.5	21.77	189.34	16.77	169.69	2024年	
150	V7	須崎	33゜23'	133゜18'	112	-	-	49.59	172.07	21.87	196.45	21.62	188.79	16.71	168.96	-	
151	ZH	久礼	33゜20'	133゜15'	111	11.3	-99.7	49.76	172.61	21.91	196.69	21.65	188.87	16.71	169.1	-	
152	L6	高知下田	32゜56'	133゜00'	108	-	-	49.46	174.54	21.42	198.69	21.32	189.82	16.23	169.77	-	
153	TS	土佐清水	32゜47'	132゜58'	112	24.7	-87.3	51.24	174.35	22.58	198.35	22.17	188.63	17.08	168.73	2024年	
154	SU	片島	32゜55'	132゜42'	117	-	-	53.4	179	22.9	204.4	21.5	190	17.3	171	-	
155	UW	宇和島	33゜14'	132゜33'	130	15.4	-114.6	57.17	209.48	24.44	234.25	24.61	195.05	18.64	174.64	2024年	
156	N1	日明	33゜55'	130゜53'	80	-	-	35.75	276.15	17.39	302.47	11.33	281.62	11.85	262.69	-	
157	N0	砂津	33゜54'	130゜53'	90	-	-	39.89	273.12	19.26	300.23	10.79	271.9	10.74	256.19	-	
158	MO	門司	33゜57'	130゜57'	130	-	-	65.71	259.84	29.74	289.61	16.18	234.38	13.81	221.4	-	
159	AH	青浜	33゜57'	131゜01'	210	-	-	106.36	257.1	47.03	286.12	29.62	210.75	22.18	189.55	-	
160	O3	苅田	33゜48'	131゜00'	210	-	-	105.21	256.16	46.22	285.49	29.45	209.76	21.87	188.49	-	
161	BP	別府	33゜18'	131゜30'	130	-	-	58.52	241.87	24.33	269.84	25.53	205.76	19.18	184.33	-	
162	QC	大分	33゜16'	131゜41'	130	15.3	-114.7	58.3	243.25	24.2	271.34	25.54	206.57	19.21	185.15	-	
163	X5	佐伯	32゜57'	131゜58'	105	13	-92	44.13	202.79	19.14	226.38	22.95	198.5	17.76	177.87	2024年	
164	Z6	細島	32゜26'	131゜40'	106	17.5	-88.5	51.3	176.1	22.08	199.76	20.88	188.91	16.18	169.24	-	
165	MG	宮崎	31゜54'	131゜27'	113	-	-	52.32	171.83	23.07	197.07	22.15	186.03	16.78	167.38	-	
166	AB	油津	31゜35'	131゜25'	116	20.7	-95.3	51.91	173.98	22.78	198.29	22.5	190.97	17.46	170.18	2024年	
167	X6	志布志	31゜29'	131゜07'	116	-	-	55.98	176.83	24.44	201.27	22.49	191.47	17.55	171.23	-	
168	QG	大泊	31゜01'	130゜41'	142	17.5	-124.5	68.62	192.54	29.94	217.77	25.15	194.8	19.59	174.77	-	
169	KG	鹿児島	31゜36'	130゜34'	155	21.2	-133.8	76.9	204.66	33.9	230.4	25.14	201.11	19.59	180.91	2024年	
170	MK	枕崎	31゜16'	130゜18'	150	24.3	-125.7	69.53	204.23	30.53	229.92	24.64	199.6	19.16	179.62	2024年	
171	ZJ	阿久根	32゜01'	130゜11'	160	26.1	-133.9	77.73	220.75	34.49	246.82	25.48	205.54	19.95	185.88	-	
172	QH	西之表	30゜44'	131゜00'	120	9.7	-110.3	58.53	194.34	25.66	219.5	22.95	198.82	17.92	179.26	-	
173	TJ	種子島	30゜28'	130゜58'	120	4.9	-115.1	55.21	177.28	23.88	203.03	21.72	189.73	16.5	171.38	2024年	
174	QI	中之島	29゜51'	129゜51'	125	10.9	-114.1	58.42	195.56	25.32	220.81	23.3	198.15	17.98	178.49	-	
175	QJ	名瀬	28゜24'	129゜30'	115	10.7	-104.3	56.09	196.67	24.47	222.53	19.99	203.66	15.18	185.66	-	
176	O9	奄美	28゜19'	129゜32'	119	9.3	-109.7	55.79	182.76	23.3	207.49	22.31	195.13	16.9	174.54	2024年	
177	NK	中城湾港	26゜20'	127゜50'	120	-	-	56.5	185.12	23.49	209.47	21.64	202.36	16.3	183.23	-	
178	ZO	沖縄	26゜11'	127゜49'	120	7	-113	55.87	185.11	23.2	209.17	21.64	202.44	16.24	183.27	-	
179	NH	那覇	26゜13'	127゜40'	118	7.5	-110.5	57.5	198	24.26	222.32	20.72	210.24	15.79	191.1	2024年	
180	DJ	南大東	25゜52'	131゜14'	98	31.7	-66.3	52.21	188.21	22.03	213.38	18.94	200.63	14.63	182.66	2024年	
181	R1	平良	24゜49'	125゜17'	103	-	-	48.72	198.63	20.9	220.74	18.62	216.31	15.58	199.14	-	
182	IS	石垣	24゜20'	124゜10'	107	15.8	-91.2	44.75	193.28	19.51	216.35	19.75	221.2	16.92	199.33	2024年	
183	IJ	西表	24゜21'	123゜45'	103	-	-	50.2	204.6	14.6	219	19.1	217.2	18.7	200.2	-	
184	YJ	与那国	24゜27'	122゜57'	100	5.4	-94.6	44.71	192.58	19.08	215.13	20.11	219.46	16.64	196.69	2024年	
185	O7	水俣	32゜12'	130゜22'	195	-	-	100.59	247.55	43.78	280.72	26.69	217.26	20.91	197.37	-	
186	O5	八代	32゜31'	130゜34'	215	-	-	111.27	249.49	48.84	283.17	27.09	218.24	21.03	198.37	-	
187	HS	本渡瀬戸	32゜26'	130゜13'	205	-	-	99.51	246.82	43.35	279.97	26.43	216.36	20.53	196.4	-	
188	RH	苓北	32゜28'	130゜02'	166	21.2	-144.8	82.46	224.98	36.89	251.1	25.5	205.68	19.69	186.11	2024年	
189	MS	三角	32゜37'	130゜27'	221	-	-	118.56	250.33	52.08	284.07	27.31	217.4	21.02	197.42	-	
190	KU	熊本	32゜45'	130゜34'	245	-	-	130.3	253.2	57.51	287.58	27.94	217.35	21.51	197.7	-	
191	O6	大牟田	33゜01'	130゜25'	265	-	-	148.75	255.03	66.12	289.52	28.59	218.06	21.85	198.08	-	
192	OU	大浦	32゜59'	130゜13'	268	24.6	-243.4	148.38	256.32	66.01	291.45	28.68	218.85	21.96	199.2	2024年	
193	KT	口之津	32゜36'	130゜12'	194	23.2	-170.8	98.39	248.02	42.2	281.1	26.65	215.79	20.94	196.35	2024年	
194	NS	長崎	32゜44'	129゜52'	164	25.2	-138.8	80.26	229	36.02	254.45	25.66	207.23	20.01	187.35	2024年	
195	KO	皇后	32゜43'	129゜50'	164	-	-	80.61	229.28	36.15	254.64	25.68	207.48	19.98	187.39	-	
196	FE	福江	32゜42'	128゜51'	159	9.2	-149.8	75.14	230.81	34.17	256.19	24.37	206.66	18.95	187.08	2024年	
197	QD	佐世保	33゜09'	129゜43'	165	25.4	-139.6	81.21	240.27	36.76	265.28	24.36	213.72	19.08	194.12	-	
198	X2	平戸瀬戸	33゜22'	129゜35'	155	-	-	76.55	248.54	35.03	273.25	22.3	221.15	17.87	202.46	-	
199	ZL	仮屋	33゜28'	129゜51'	127	24.2	-102.8	63.32	268.43	29.84	292.48	18.16	244.09	15.77	226.17	-	
200	KA	唐津	33゜28'	129゜58'	118	-	-	55.36	272.49	26.35	296.15	15.93	255.11	14.44	237.53	-	
201	QF	博多	33゜37'	130゜24'	110	27.8	-82.2	50.25	279.12	23.99	302.8	14.85	266.48	14.03	247.75	-	
202	X3	郷ノ浦	33゜45'	129゜41'	127	-	-	60.77	264.39	28.71	288.88	15.43	239.19	13.28	223.37	-	
